0	1	"Cholera due to Vibrio cholerae 01, biovar eltor"	"Cholera caused by vibrio cholerae eltor biotype"
0	0	"Cholera due to Vibrio cholerae 01, biovar eltor"	"Bipolar 1 disorder, depressed, moderate"
0	1	"Typhoid fever, unspecified"	"Typhoid fever"
0	0	"Typhoid fever, unspecified"	"Acute megakaryoblastic leukemia, FAB M7, in relapse"
0	1	"Typhoid pneumonia"	"Pneumonia in typhoid fever"
0	0	"Typhoid pneumonia"	"Infective myositis of R ankle"
0	1	"Typhoid arthritis"	"Arthritis caused by salmonella typhosa"
0	0	"Typhoid arthritis"	"Kaposi sarcoma, lung"
0	1	"Typhoid osteomyelitis"	"Osteomyelitis caused by salmonella typhosa"
0	0	"Typhoid osteomyelitis"	"Cryptococcosis"
0	1	"Cholera due to Vibrio cholerae 01, biovar cholerae"	"Cholera due to Vibrio cholerae O1 Classical biotype"
0	0	"Cholera due to Vibrio cholerae 01, biovar cholerae"	"Amyelia (congenital absence of spinal cord)"
0	1	"Cholera, unspecified"	"Cholera"
0	0	"Cholera, unspecified"	"Prostate nodule"
0	1	"Typhoid fever, unspecified"	"Typhoid fever"
0	0	"Typhoid fever, unspecified"	"Abscess of bursa of R shoulder"
0	1	"Typhoid meningitis"	"Meningitis due to typhoid fever"
0	0	"Typhoid meningitis"	"Chronic peptic ulcer, perforated"
0	1	"Typhoid fever with heart involvement"	"Cardiac disorder due to typhoid fever"
0	0	"Typhoid fever with heart involvement"	"Left retinal hemorrhage"
0	1	"Cholera due to Vibrio cholerae 01, biovar cholerae"	"Cholera classical"
0	0	"Cholera due to Vibrio cholerae 01, biovar cholerae"	"Chronic post-thoracotomy (after chest surgery) pain"
0	1	"Cholera due to Vibrio cholerae 01, biovar eltor"	"Cholera caused by vibrio cholerae eltor biotype"
0	0	"Cholera due to Vibrio cholerae 01, biovar eltor"	"Right retinal detachment with retinal dialysis"
0	1	"Typhoid fever, unspecified"	"Typhoid fever"
0	0	"Typhoid fever, unspecified"	"Left non-infectious pinna disorder"
0	1	"Typhoid meningitis"	"Meningitis due to typhoid fever"
0	0	"Typhoid meningitis"	"R mechanical ptosis"
0	1	"Typhoid pneumonia"	"Pneumonia in typhoid fever"
0	0	"Typhoid pneumonia"	"Dermatitis due to substances taken internally"
0	1	"Typhoid arthritis"	"Arthritis caused by salmonella typhosa"
0	0	"Typhoid arthritis"	"Hemolytic anemia, nonlymphoid neoplasm"
0	1	"Paratyphoid fever C"	"Paratyphoid C fever"
0	0	"Paratyphoid fever C"	"Erosive duodenitis"
0	1	"Salmonella enteritis"	"Salmonella gastroenteritis"
0	0	"Salmonella enteritis"	"Left acute angle-closure glaucoma"
